Year	Los Angeles	San Francisco	San Diego	Seattle	Phoenix
2004	485.0	628.0	613.0	526.0	781.0
2005	475.0	757.0	755.0	752.0	693.0
2006	543.0	888.0	520.0	570.0	645.0
2007	475.0	757.0	755.0	752.0	693.0
2008	504.0	714.0	647.0	839.0	503.0
2009	491.0	676.0	581.0	839.0	519.0
2010	491.0	676.0	581.0	839.0	519.0
2011	613.0	705.0	714.0	628.0	589.0
2012	478.0	698.0	625.0	668.0	577.0
2013	478.0	721.0	681.0	655.0	549.0
2014	472.0	1005.0	717.0	759.0	611.0
2015	512.0	1135.0	848.0	713.0	616.0
2016	620.0	875.0	1112.0	986.0	485.0
2017	657.0	800.0	1218.0	1124.0	527.0
